,State,Population,PIT Count,Normalized Population
0,Alabama,4863300.0,6416.0,0.0013192688092447515
1,Alaska,741894.0,2546.0,0.003431757097375097
2,Arizona,6931071.0,16470.0,0.0023762561370385617
3,Arkansas,2988248.0,2658.0,0.000889484406916695
4,California,39250017.0,113040.0,0.002879998752612005
5,Colorado,5540545.0,14133.0,0.0025508320932327052
6,Connecticut,3576452.0,10638.0,0.0029744562488186617
7,Delaware,952065.0,1834.0,0.001926339062984145
8,District of Columbia,681170.0,18039.0,0.026482375912033708
9,Florida,20612439.0,39714.0,0.0019267006684652894
10,Georgia,10310371.0,15958.0,0.001547761957353426
11,Hawaii,1428557.0,6444.0,0.0045108455595401515
12,Idaho,1683140.0,2411.0,0.0014324417457846643
13,Illinois,12801539.0,23810.0,0.0018599326221636322
14,Indiana,6633053.0,9064.0,0.0013664899104529995
15,Iowa,3134693.0,4420.0,0.00141002643640063
16,Kansas,2907289.0,3571.0,0.001228292061779892
17,Kentucky,4436974.0,7327.0,0.0016513506727783395
18,Louisiana,4681666.0,8377.0,0.0017893202975180203
19,Maine,1331479.0,4829.0,0.0036267939637050226
20,Maryland,6016447.0,15441.0,0.0025664648919869154
21,Massachusetts,6811779.0,37295.0,0.005475074866639097
22,Michigan,9928300.0,43915.0,0.004423214447589215
23,Minnesota,5519952.0,21144.0,0.0038304680910268784
24,Mississippi,2988726.0,2249.0,0.0007524945411523171
25,Missouri,6093000.0,12385.0,0.0020326604300016414
26,Montana,1042520.0,2333.0,0.002237846755937536
27,Nebraska,1907116.0,4414.0,0.002314489522399267
28,Nevada,2940058.0,6900.0,0.002346892476270876
29,New Hampshire,1334795.0,2660.0,0.0019928153761439023
30,New Jersey,8944469.0,14622.0,0.0016347532760189565
31,New Mexico,2081015.0,4996.0,0.002400751556331886
32,New York,19745289.0,130191.0,0.00659352213077256
33,North Carolina,10146788.0,15538.0,0.0015313220301833446
34,North Dakota,757952.0,1420.0,0.001873469560077683
35,Ohio,11614373.0,28989.0,0.00249595910170958
36,Oklahoma,3923561.0,5107.0,0.0013016237035692831
37,Oregon,4093465.0,16368.0,0.00399856844995621
38,Pennsylvania,12784227.0,29451.0,0.002303698143032035
39,Rhode Island,1056426.0,3298.0,0.0031218466792752165
40,South Carolina,4961119.0,5164.0,0.0010408942014896237
41,South Dakota,865454.0,1414.0,0.0016338245591331255
42,Tennessee,6651194.0,11315.0,0.0017011983111603721
43,Texas,27862596.0,36058.0,0.0012941364114097624
44,Utah,3051217.0,6146.0,0.002014278237175527
45,Vermont,624594.0,2369.0,0.0037928638443532918
46,Virginia,8411808.0,12883.0,0.001531537571946483
47,Washington,7288000.0,31872.0,0.004373216245883644
48,West Virginia,1831102.0,2831.0,0.0015460635180344952
49,Wisconsin,5778708.0,9602.0,0.0016616170950323151
50,Wyoming,585501.0,771.0,0.0013168209789564834
